,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
47,5qA1ZrjjVLh1cL9GZOFdNm,Time Has Come Today,Time Has Come: The Best Of The Chambers Brothers,The Chambers Brothers,1996-10-08,290933,48,0.0252,0.528,0.514,0.0894,0.0725,-11.909,0.133,122.872,4,0.44,1960
48,0fYgtNCNCjFDeJWTIMukNU,Itchycoo Park,Small Faces: The Singles Collection,Small Faces,1999-01-01,172746,38,0.395,0.603,0.596,2.31e-06,0.451,-8.029,0.0728,128.129,4,0.502,1960
49,1BmVQ5RGqqtF5cnsv6cQYu,"Girl, You'll Be A Woman Soon",The Bang Years 1966-1968 (The 23 Original Mono Recordings),Neil Diamond,1968,180253,58,0.567,0.515,0.641,0.0642,0.322,-5.573,0.0272,109.558,4,0.655,1960
50,5t9KYe0Fhd5cW6UYT4qP8f,Good Vibrations - Remastered 2001,Smiley Smile (Remastered),The Beach Boys,1967-09-18,219026,68,0.326,0.396,0.473,0.000124,0.109,-7.67,0.0345,133.449,4,0.385,1960
51,6sMGNw1E4q79DoAFGDCYuD,Good Times Bad Times - Remaster,Led Zeppelin (Deluxe Edition),Led Zeppelin,1969-01-12,166106,45,0.0828,0.445,0.703,2.73e-06,0.0782,-9.783,0.0859,93.199,4,0.633,1960
52,1Ud6moTC0KyXMq1Oxfien0,Sympathy For The Devil - 50th Anniversary Edition,Beggars Banquet (50th Anniversary Edition),The Rolling Stones,1968-12-06,378146,71,0.518,0.702,0.668,0.0,0.0588,-9.237,0.214,116.063,4,0.561,1960
53,72Z17vmmeQKAg8bptWvpVG,Space Oddity - 2015 Remaster,David Bowie (aka Space Oddity) [2015 Remaster],David Bowie,1969-11-04,318026,69,0.0726,0.31,0.403,9.27e-05,0.139,-13.664,0.0326,134.48,4,0.466,1960
54,2nvcTDmZkRWKNMAL29sLHo,The Night They Drove Old Dixie Down,The Band,The Band,1969-09-22,211787,59,0.542,0.505,0.483,0.0,0.222,-9.272,0.0334,125.839,4,0.484,1960
55,1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,Buffalo Springfield,1966-12-05,153693,75,0.406,0.653,0.519,0.0209,0.101,-10.164,0.0497,98.883,4,0.822,1960
56,2HCaIYjkvWSZzaSKUoOh3d,Mr. Tambourine Man,Mr. Tambourine Man,The Byrds,1965-06-21,149466,61,0.513,0.456,0.47,3.76e-05,0.444,-9.564,0.0294,120.336,4,0.639,1960
57,2PuUFT13yCzUOZun94WOXv,Suite: Judy Blue Eyes - 2005 Remaster,"Crosby, Stills & Nash","Crosby, Stills & Nash",1969-05-29,444053,59,0.467,0.458,0.364,0.0,0.197,-13.126,0.0431,154.215,4,0.3,1960
