,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
40,0sDeU2murnLh4yVHQ5IV70,Cry to Me,Rock 'N Soul,Solomon Burke,1964,154906,67,0.623,0.733,0.624,0.0,0.407,-9.849,0.0374,114.586,4,0.912,1960
41,5cGZE6yM5i0ZlWut6wawsN,Ebony Eyes,The Golden Hits of The Everly Brothers,The Everly Brothers,1962-06-01,188093,40,0.808,0.317,0.161,0.0,0.104,-18.856,0.0322,84.64,5,0.287,1960
43,3no0tiiQldD3LnsxwVtnnk,You've Lost That Lovin' Feelin' - Single Version,You've Lost That Lovin' Feelin',The Righteous Brothers,1996-01-01,224000,45,0.569,0.357,0.389,0.0,0.099,-9.702,0.0269,94.211,4,0.324,1960
44,4xCVHlmzEyIn1t4gXYsMaf,I've Gotta Get A Message To You,Idea (Deluxe Edition),Bee Gees,1968-08-11,177440,51,0.037,0.442,0.596,4.46e-06,0.172,-6.327,0.0281,83.414,4,0.497,1960
45,5kDMkphwMFCiRn0MVyykjQ,These Arms of Mine,Pure Southern Soul,Otis Redding,2007-10-29,154293,31,0.817,0.42,0.288,0.0,0.306,-12.597,0.0312,177.1,3,0.699,1960
46,7GHf8dQ2wA71wYOuRsQCZP,Rhythm of the Rain,Rhythm Of The Rain,The Cascades,1963,146360,59,0.627,0.659,0.66,0.000217,0.136,-8.337,0.0441,116.634,4,0.672,1960
47,6ePg7Gsej17RfQQKjsY0rf,I Wish It Would Rain,Wish It Would Rain,The Temptations,2004-01-01,162706,0,0.443,0.388,0.449,0.0,0.265,-12.584,0.088,179.651,4,0.692,1960
48,3BQHpFgAp4l80e1XslIjNI,Yesterday - Remastered 2009,Help! (Remastered),The Beatles,1965-08-06,125666,74,0.879,0.332,0.179,0.0,0.0886,-11.83,0.0326,96.529,4,0.315,1960
49,48obzdkQV1biEq8cPsGLys,Last Kiss,Last Kiss,J. Frank Wilson & The Cavaliers,2015-09-11,148680,40,0.262,0.746,0.482,0.0,0.0671,-7.919,0.0471,135.202,4,0.698,1960
50,5y788ya4NvwhBznoDIcXwK,The Sound of Silence - Acoustic Version,"Wednesday Morning, 3 A.M.",Simon & Garfunkel,1964-10-19,185413,71,0.837,0.525,0.216,0.0,0.107,-13.551,0.0301,106.761,4,0.328,1960
51,36CKza28wMxYdjdzji7ine,I Started A Joke,Idea (Deluxe Edition),Bee Gees,1968-08-11,188306,64,0.156,0.31,0.464,8.94e-06,0.132,-8.755,0.0275,144.775,4,0.431,1960
