,Trackname,Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence,Decade
69,48VbR0NaVDvJ4ZguFdS0xa,This Magic Moment,Hits,Ben E. King,2012-12-11,147527,38,0.727,0.327,0.439,0.0,0.138,-7.558,0.0332,139.744,4,0.545,1960
70,0sDqo9UPzPUtu9wEkI3zRB,The Weight - Remastered,Music From Big Pink (Expanded Edition),The Band,1968-07-01,278626,0,0.225,0.63,0.519,4.3e-06,0.0974,-10.997,0.0528,143.942,4,0.502,1960
71,6AeG6jSoAVbmUFO6LyYmBf,People Get Ready,People Get Ready,The Impressions,1965-02-07,163360,56,0.894,0.414,0.249,8.37e-06,0.188,-12.674,0.0369,142.442,3,0.341,1960
72,4BaAOHT6nF3F8oV7n8OvD1,Put A Little Love In Your Heart,Feelin' Good,David Ruffin,1969-01-01,168400,38,0.0414,0.556,0.538,0.0,0.225,-10.898,0.0257,93.655,4,0.81,1960
73,37soQoNhEEIrhhYgHWK1xU,Ain't Nothing Like The Real Thing,You're All I Need,Marvin Gaye,1968-01-01,138533,53,0.0356,0.606,0.52,0.000628,0.354,-11.312,0.036,93.449,4,0.765,1960
74,35IRrhDF5x53hRCcc1okcZ,"Its Been a Long, Long Time",Kitty Kallen's Coloring Book,Kitty Kallen,1963-11-26,204493,47,0.965,0.271,0.18,0.0113,0.171,-11.645,0.0296,74.342,4,0.416,1960
75,3qitymULqEibr7yknRMKU4,A Whiter Shade Of Pale,A Whiter Shade Of Pale,Procol Harum,1967-05-12,248946,0,0.504,0.249,0.66,0.0026,0.0891,-6.905,0.0342,149.813,4,0.435,1960
76,7Bvap2GAW2DAyZ7EVUJpMO,What Becomes Of The Brokenhearted,Greatest Motown Hits,Jimmy Ruffin,1989-01-01,175693,0,0.62,0.715,0.423,0.0,0.568,-12.663,0.0306,98.623,4,0.596,1960
77,3lWuagNhAzcqOikD5KnBku,Crying in the Rain,The Golden Hits of The Everly Brothers,The Everly Brothers,1962-06-01,120306,57,0.622,0.61,0.379,0.0,0.144,-9.381,0.0278,97.166,4,0.48,1960
78,79Yk6AlSKi5dxDFINID2hS,Someday We'll Be Together,Cream Of The Crop,Diana Ross & The Supremes,1969-11-03,211666,53,0.14,0.678,0.535,2.17e-06,0.0596,-12.454,0.0329,107.041,4,0.795,1960
79,4Kir60nu0v2dcBVSxVhCQc,Sealed with a Kiss,"Sealed with a Kiss and All the Great Hits, 1960 - 1962",Brian Hyland,2014-02-09,162666,38,0.895,0.456,0.297,0.0,0.131,-12.186,0.0285,90.462,4,0.571,1960
80,2GbePPrWWSRxcmW6QRSPae,Piece of My Heart,Erma Franklin: Piece Of Her Heart - The Epic And Shout Years,Erma Franklin,2009-02-18,157266,56,0.139,0.467,0.783,0.0214,0.08,-5.207,0.0528,160.841,4,0.591,1960
81,4NAbnwBxeiFY714TBr3zBJ,Wishin' And Hopin' - Stereo Version,A Girl Called Dusty,Dusty Springfield,1964-04-17,173933,44,0.24,0.683,0.332,0.0,0.165,-11.425,0.0404,108.086,4,0.708,1960
82,5QqdvVeYLL1xvZ1ndUjxnO,In My Life - Remastered,Rubber Soul (Remastered),The Beatles,1965-12-03,146333,1,0.449,0.688,0.435,0.0,0.113,-11.359,0.0323,103.239,4,0.435,1960
83,24AIahNHzBxm9S12peXbnG,"Moon River (From ""Breakfast at Tiffany's"")",Moon River And Other Great Movie Themes,Andy Williams,1962,162893,60,0.86,0.281,0.212,7.73e-05,0.119,-15.513,0.031,95.555,3,0.195,1960
84,3bq9YHKExHdNzMCublodNs,I'm So Proud,The Never Ending Impressions,The Impressions,1964-09-09,171506,47,0.966,0.608,0.121,0.466,0.0746,-17.321,0.0359,86.704,3,0.288,1960
85,50tTePJn69dlpGxVfWWHWM,Hey Paula,"Lo Mejor de los Años 60, Vol. 3 Pop",Various Artists,2015-03-13,152453,0,0.401,0.45,0.405,3.18e-06,0.0605,-8.062,0.0267,73.222,4,0.322,1960
86,3Rhxe6P1im82NFVkt9X2qZ,I'm Gonna Make You Love Me,Diana Ross & The Supremes Join The Temptations,Diana Ross & The Supremes,1968-11-08,187333,51,0.394,0.635,0.393,0.0,0.255,-11.894,0.0428,98.332,4,0.427,1960
87,0l9RGwc48deJ6j61KXAAvs,"Yester-Me, Yester-You, Yesterday",My Cherie Amour,Stevie Wonder,1969-08-01,185293,50,0.0311,0.604,0.357,0.0,0.0927,-11.419,0.0269,100.721,4,0.638,1960
88,1vG906bxMqUVufJoLSF4rV,You've Really Got A Hold On Me,Ooo Baby Baby: The Anthlogy,Smokey Robinson & The Miracles,2002-09-24,191000,45,0.116,0.652,0.401,0.0,0.195,-13.374,0.0327,117.682,3,0.647,1960
89,1HzfcOcxJeGmxgf5a6MK0W,Angel Baby,Presenting Rosie & the Originals,Rosie & The Originals,1960-12-24,227600,46,0.85,0.6,0.253,0.00105,0.115,-11.163,0.0257,98.079,3,0.449,1960
90,6ft9PAgNOjmZ2kFVP7LGqb,Can't Take My Eyes off You,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,2003-01-14,203240,67,0.566,0.575,0.764,1.07e-05,0.0692,-7.448,0.0746,123.821,4,0.536,1960
91,5jgFfDIR6FR0gvlA56Nakr,Blackbird - Remastered 2009,The Beatles (Remastered),The Beatles,1968-11-22,138386,73,0.754,0.686,0.127,1.41e-05,0.0573,-14.361,0.0342,93.699,4,0.372,1960
92,1mBPlknQe00PCd7R9g34ix,Massachusetts (2008 Remastered LP Version),"Best Of Bee Gees, Vol. 1",Bee Gees,1969-06-01,145573,0,0.00306,0.484,0.538,3.54e-05,0.0711,-9.218,0.0296,102.073,4,0.498,1960
93,0SxFyA4FqmEQqZVuAlg8lf,The First Time Ever I Saw Your Face,First Take,Roberta Flack,1969,260666,61,0.731,0.311,0.0264,0.00205,0.156,-21.644,0.037,120.653,4,0.139,1960
94,1t2zYsS4UgIkkuBgSe0fZt,More Than I Can Say,Bobby Vee,Bobby Vee,1961-01-01,149973,46,0.792,0.578,0.295,0.0,0.109,-10.379,0.0294,101.171,4,0.603,1960
95,0Bx8q1kYXV4PUf4cKwszAG,I'll Never Fall in Love Again,Sings Burt Bacharach,Dionne Warwick,2011-08-30,181706,0,0.877,0.647,0.486,0.000963,0.104,-7.754,0.0388,136.275,4,0.811,1960
96,7dblNGnRXEBrVJunazs2U5,All I Have to Do Is Dream,The Very Best of The Everly Brothers,The Everly Brothers,1964-08-01,143333,65,0.839,0.534,0.462,0.0,0.129,-8.172,0.0266,96.195,4,0.534,1960
97,0mbS3VwRbO6HVBMPXnzOGA,To Love Somebody,Bee Gees' 1st,Bee Gees,1967-07-14,182000,67,0.729,0.423,0.384,4.11e-06,0.27,-12.503,0.0315,90.43,4,0.521,1960
98,0tURbnatc9qCxlYpXuPK8I,A Place In The Sun,Down To Earth,Stevie Wonder,1966-11-01,172960,51,0.279,0.561,0.447,0.0,0.319,-11.389,0.0544,117.784,4,0.729,1960
99,6ZSTinOwx5dKFYc6iYyGDn,Leaving on a Jet Plane,Album 1700,"Peter, Paul and Mary",1967-10-31,207240,61,0.804,0.414,0.167,0.0,0.117,-16.519,0.0484,133.45,4,0.384,1960
1,2Vp0ue7NNLHFF6RKSdOEuN,Candy Says,The Velvet Underground (45th Anniversary),The Velvet Underground,1969,243666,52,0.94,0.525,0.0632,0.763,0.105,-23.321,0.0305,79.273,4,0.24,1960
2,2bsAzwSesOofKlc8ip4MB7,After Laughter (Comes Tears),After Laughter Comes Tears: Complete Stax & Volt Singles + Rarities (1964-65),Wendy Rene,2012-02-10,182893,0,0.162,0.425,0.218,2.57e-06,0.0929,-10.135,0.0331,187.244,4,0.368,1960
5,5S96nzXyrDBAwDNfgUwvWW,(He's) The Great Imposter,Come Softly To Me: The Very Best Of The Fleetwoods,The Fleetwoods,1993-01-01,132066,39,0.747,0.49,0.129,0.0,0.106,-18.069,0.0464,117.288,4,0.508,1960
6,4Gd4ZSbLGLZLvwAYD6JPPK,The Crying Game,Dreamboats And Miniskirts – Summer In The City,Various Artists,2013-01-01,163266,0,0.706,0.502,0.243,0.0,0.105,-12.529,0.0251,92.284,4,0.166,1960
